Task_Record_ID,Task_Length_MI,Task_Priority,Task_Dependency_Level,Task_Arrival_Time,CPU_Utilization,Memory_Usage,Queue_Length,Node_Trust_Score,Node_Processing_Speed_MIPS,System_Load_Level,Execution_Environment,Assigned_Node
TASK_0001,7770,5,0,1758.25,50.39,63.27,6,0.893,1632,High,Cloud,1
TASK_0002,1360,1,1,4547.74,36.97,21.6,1,0.647,3199,Medium,Hybrid,3
TASK_0003,5890,3,2,2844.78,75.14,82.02,5,0.878,15548,Low,Edge,2
TASK_0004,5691,1,1,3810.87,52.33,44.19,15,0.691,12255,High,Edge,3
TASK_0005,6234,3,3,4059.03,36.35,38.5,9,0.706,18006,High,Edge,5
TASK_0006,6765,5,0,1709.25,79.02,49.68,3,0.836,7073,Medium,Edge,1
TASK_0007,966,1,3,2168.47,83.71,44.25,12,0.892,17744,Medium,Cloud,3
TASK_0008,4926,4,3,4242.36,67.21,79.77,9,0.833,11559,Medium,Edge,2
TASK_0009,6078,3,3,1816.28,13.99,84.69,13,0.95,17097,Medium,Cloud,5
TASK_0010,8822,4,0,3969.68,58.14,37.76,8,0.643,9401,High,Cloud,4
TASK_0011,2185,1,0,4704.96,74.88,79.8,10,0.95,12659,High,Edge,5
TASK_0012,1269,4,4,3116.05,21.6,73.61,17,0.565,10122,Medium,Edge,2
TASK_0013,7449,4,1,3708.14,29.44,84.81,10,0.83,14894,High,Edge,2
TASK_0014,2933,1,1,4025.49,85.01,33.43,16,0.774,1877,Low,Edge,4
TASK_0015,5811,5,4,4225.2,11.71,58.27,1,0.747,14775,Low,Cloud,5
TASK_0016,5551,4,4,1975.27,73.98,35.59,2,0.655,11691,Medium,Cloud,3
TASK_0017,6920,4,3,256.32,50.27,76.81,10,0.752,17110,Low,Cloud,3
TASK_0018,1684,5,4,2009.38,47.98,15.4,17,0.581,3523,Medium,Edge,5
TASK_0019,5055,4,2,3368.78,10.6,57.36,2,0.685,13543,Low,Hybrid,3
TASK_0020,3885,4,1,2251.75,79.65,40.44,14,0.549,7270,High,Cloud,5
TASK_0021,6896,4,4,3744.82,40.59,39.2,10,0.786,6088,High,Cloud,5
TASK_0022,9166,2,2,1784.91,55.97,63.37,10,0.548,8564,Medium,Edge,2
TASK_0023,9774,5,2,3173.72,67.57,78.86,19,0.58,8066,Low,Hybrid,1
TASK_0024,3058,4,2,932.1,69.72,60.69,10,0.543,7545,Medium,Edge,2
TASK_0025,8349,5,2,3746.85,91.26,78.99,18,0.691,3321,High,Cloud,3
TASK_0026,2547,3,3,2728.48,55.16,34.84,0,0.921,14132,Medium,Hybrid,1
TASK_0027,3247,3,2,1020.32,43.98,53.96,4,0.953,9330,Low,Hybrid,5
TASK_0028,9667,4,3,1459.56,91.06,48.79,9,0.536,9294,Low,Cloud,3
TASK_0029,689,5,3,3743.04,64.58,15.87,9,0.817,14553,Medium,Hybrid,4
TASK_0030,3234,5,2,2413.01,35.34,56.76,13,0.842,6333,Low,Edge,3
TASK_0031,3505,5,1,1080.16,20.75,64.61,1,0.767,8858,High,Cloud,1
TASK_0032,5158,2,2,4836.36,81.62,59.39,3,0.833,6389,High,Edge,1
TASK_0033,2399,3,2,3575.63,40.79,70.22,1,0.617,19232,Low,Hybrid,5
TASK_0034,8234,5,2,4785.67,66.14,57.85,17,0.745,4205,Medium,Edge,4
TASK_0035,1767,5,1,2135.53,50.02,20.01,12,0.695,3161,Low,Cloud,5
TASK_0036,2028,2,0,2375.5,26.91,23.73,18,0.545,18848,High,Hybrid,4
TASK_0037,4056,2,0,4489.78,61.14,59.74,4,0.813,1643,Medium,Cloud,4
TASK_0038,4390,5,3,2625.25,15.16,35.62,19,0.748,15986,Medium,Edge,5
TASK_0039,9338,1,3,3536.39,45.13,20.97,1,0.638,12628,Medium,Edge,3
TASK_0040,5893,5,1,1260.86,56.46,47.22,10,0.737,6351,Medium,Cloud,2
TASK_0041,9292,5,4,2233.63,47.06,56.57,17,0.888,5553,Medium,Cloud,4
TASK_0042,8933,2,0,617.25,73.64,39.66,5,0.901,7518,Medium,Hybrid,1
TASK_0043,8013,2,3,1029.9,80.37,69.03,9,0.825,6723,Medium,Cloud,5
TASK_0044,3112,5,0,4.72,75.56,63.28,16,0.734,8946,Medium,Edge,3
TASK_0045,7541,5,1,196.33,13.3,39.96,10,0.788,1610,Low,Edge,4
TASK_0046,6735,5,1,4886.42,26.5,71.62,18,0.693,5302,Low,Edge,3
TASK_0047,5986,2,4,1211.77,55.61,63.65,16,0.563,2543,Medium,Edge,5
TASK_0048,7599,5,4,3316.55,89.46,62.81,3,0.693,2466,Medium,Cloud,1
TASK_0049,1275,5,1,4195.5,80.97,56.51,13,0.765,10108,Medium,Cloud,4
TASK_0050,8726,4,3,2753.3,81.62,15.85,19,0.799,15656,High,Hybrid,4
TASK_0051,3652,1,0,765.72,35.77,67.24,3,0.968,7236,Low,Edge,3
TASK_0052,2085,3,2,3640.58,46.5,43.2,13,0.889,14719,Low,Cloud,5
TASK_0053,4443,1,4,3001.26,50.01,85.7,3,0.576,18565,Low,Hybrid,2
TASK_0054,8055,4,2,3656.25,23.38,76.35,5,0.587,19530,Medium,Edge,4
TASK_0055,3573,3,3,3848.73,12.64,59.08,8,0.55,19656,Medium,Cloud,1
